Date,Close,Volume,Open,High,Low
07/02/2014, $93.48, 28414310, $93.865, $94.06, $93.09
07/01/2014, $93.52, 38156280, $93.52, $94.07, $93.13
06/30/2014, $92.93, 49474230, $92.1, $93.725, $92.09
06/27/2014, $91.98, 61758200, $90.82, $92, $90.77
06/26/2014, $90.9, 32528680, $90.37, $91.05, $89.8
06/25/2014, $90.36, 36835900, $90.21, $90.7, $89.65
06/24/2014, $90.28, 38977670, $90.75, $91.74, $90.19
06/23/2014, $90.83, 43611710, $91.32, $91.62, $90.6
06/20/2014, $90.91, 100478600, $91.85, $92.55, $90.9
06/19/2014, $91.86, 35476080, $92.29, $92.3, $91.3389
06/18/2014, $92.18, 33314720, $92.27, $92.29, $91.35
